gal_id,los,popt_2par,popt_4par,rmse_2par,rmse_4par,success_2par,success_4par
524576.0,28.0,[3.10691073 0.28572879],[-1.31414011e+02  2.11700183e+00  2.88624366e+01  2.06334809e-02],0.056120499083295805,0.04948002528374422,True,True
524576.0,4.0,[10.87124965 -0.6310909 ],[ 8.83089453e+02 -2.03031809e+00  2.40908142e+01  8.57880412e-02],0.6925677193034625,0.2027551678764204,True,True
524576.0,35.0,[2.71503088 0.01499929],[1.03470538e+02 1.06318786e+01 1.23909991e+02 2.81263744e-02],0.05052978593249891,0.04364493544242127,True,True
524576.0,19.0,[ 3.64327762 -0.03952779],[8.27278523e+02 1.20775544e+01 1.16588696e+03 4.83498480e-02],0.07215332863858967,0.05138253789789912,True,True
683079.0,39.0,[ 8.7319543  -0.65793098],[ 1.17742227e+02 -1.87127124e+00  8.14950398e+00  1.04051087e-01],0.36973578059252227,0.2369508459511657,True,True
683079.0,21.0,[15.27565349 -1.03402858],[3.64803311e+02 1.94428973e+00 1.12429387e+01 1.71334339e-01],1.073070449371762,0.4313073933882255,True,True
683079.0,47.0,[10.9530404  -0.82134143],[1.60587821e+02 1.92723452e+00 8.48803572e+00 1.32127854e-01],0.5673526981027923,0.30834037137516523,True,True
683079.0,31.0,[ 6.88160411 -0.48254589],[9.15982060e+01 1.86391478e+00 8.95209376e+00 7.61522769e-02],0.2489618607806201,0.17811745971162848,True,True
683079.0,46.0,[12.14948874 -0.88379472],[ 2.04975266e+02 -1.96363754e+00  9.66469724e+00  1.40033820e-01],0.6903106989366379,0.3455873887938429,True,True
683079.0,50.0,[10.05629954 -0.78275292],[119.10495887   1.93875334   7.29325396   0.12529678],0.47935120435670914,0.28853938616179436,True,True
683079.0,32.0,[ 4.04525085 -0.12276741],[ 1.49433     1.82745092 -1.3127348   0.05515879],0.08372340504763565,0.06833085728412311,True,True
419176.0,18.0,[ 1.0000324  -1.21354137],[5.25529837e+01 1.96384645e+00 1.05091948e-02 3.96863617e-01],2.236299070188506,0.38976133550319425,True,True
419176.0,24.0,[ 3.70652382 -0.21973763],[ 0.05227245  0.23334174 -1.98605029  0.06686556],0.08977375223548804,0.060956328890678375,True,True
419176.0,1.0,[ 3.06346342 -0.15908459],[7.15116323e+01 7.10753126e+00 3.56997711e+01 6.06143264e-02],0.11674157104617158,0.05426622905191794,True,True
419176.0,45.0,[2.745868   0.06280324],[ 0.10517838  0.17475879 -1.93547736  0.02850005],0.050334448139776194,0.04991429202191027,True,True
419176.0,15.0,[ 4.19048338 -0.31593902],[ 3.97647082  1.80661296 -1.05092476  0.07895476],0.09286258032443233,0.07915315343069235,True,True
419176.0,41.0,[ 3.34449915 -0.17195106],[13.35308002  4.53412462  2.81042311  0.0614233 ],0.09373656064467101,0.04759917719748723,True,True
419176.0,42.0,[ 7.08527472 -0.64890863],[14.12289423  1.86938405 -0.33183183  0.15437124],0.13537992238205965,0.14244032062795414,True,True
533793.0,1.0,[2.67273267 0.02199273],[4.03425683e+02 1.23539231e+01 7.88622968e+02 2.63785077e-02],0.0664874196242845,0.08133868475338468,True,True
533793.0,47.0,[ 3.61756684 -0.06894118],[ 0.84758366  1.19139322 -1.4313386   0.03999194],0.09359963170327901,0.07106668436414626,True,True
533793.0,25.0,[ 5.75731993 -0.25183589],[1.08341363e+02 1.88690876e+00 1.39043850e+01 5.21903970e-02],0.1781177093669805,0.10458175831363928,True,True
533793.0,45.0,[3.2336673  0.09086275],[ 0.26660007  0.30544442 -1.79363592  0.02748694],0.07608322407802054,0.053780891751024934,True,True
533793.0,10.0,[ 6.9549443  -0.45837505],[1.08171156e+02 1.98198950e+00 1.18470340e+01 6.76955299e-02],0.267908467321846,0.1544030293856979,True,True
533793.0,31.0,[ 7.28476575 -0.51060783],[1.19531040e+02 1.98751253e+00 1.16733172e+01 7.09752550e-02],0.3027118061781982,0.1710195130911217,True,True
418505.0,16.0,[ 8.86379899 -0.60530749],[2.27553479e+02 2.05965766e+00 1.63340419e+01 8.55432359e-02],0.4116758937874954,0.2314664819764433,True,True
418505.0,6.0,[ 8.10296432 -0.57602061],[1.50685671e+02 2.00898318e+00 1.25973425e+01 8.06099841e-02],0.3577749689283074,0.20815940845969647,True,True
